"filename", "language", "TypeScript", "JavaScript", "Markdown", "JSON with Comments", "JSON", "Ignore", "comment", "blank", "total"
"c:\Users\eckar\Downloads\repos\deadeye\.prettierrc", "JSON", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\eckar\Downloads\repos\deadeye\.vscode-test.mjs", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\eckar\Downloads\repos\deadeye\.vscodeignore", "Ignore", 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\Users\eckar\Downloads\repos\deadeye\CHANGELOG.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\Users\eckar\Downloads\repos\deadeye\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 34, 72
"c:\Users\eckar\Downloads\repos\deadeye\docs.md", "Markdown", 0, 0, 84, 0, 0, 0, 0, 36, 120
"c:\Users\eckar\Downloads\repos\deadeye\eslint.config.mjs", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\eckar\Downloads\repos\deadeye\package-lock.json", "JSON", 0, 0, 0, 0, 4837, 0, 0, 1, 4838
"c:\Users\eckar\Downloads\repos\deadeye\package.json", "JSON", 0, 0, 0, 0, 53, 0, 0, 1, 54
"c:\Users\eckar\Downloads\repos\deadeye\src\chords.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\completion_utils.ts", "TypeScript", 207, 0, 0, 0, 0, 0, 61, 17, 285
"c:\Users\eckar\Downloads\repos\deadeye\src\extension.ts", "TypeScript", 135, 0, 0, 0, 0, 0, 25, 13, 173
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\c\scopes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\c\shorthands.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\completions.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 1, 4, 11
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\cpp\scopes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\cpp\shorthands.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\css\scopes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\css\shorthands.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\dart\scopes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\dart\shorthands.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\go\scopes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\go\shorthands.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\html\scopes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\html\shorthands.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\java\scopes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\java\shorthands.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\js\scopes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\js\shorthands.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\json\scopes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\json\shorthands.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\kotlin\scopes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\kotlin\shorthands.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\lua\scopes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\lua\shorthands.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\python\scopes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\python\shorthands.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\rust\completions.ts", "TypeScript", 578, 0, 0, 0, 0, 0, 93, 70, 741
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\rust\hot_completions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\rust\lang.ts", "TypeScript", 129, 0, 0, 0, 0, 0, 16, 7, 152
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\rust\scopes.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 2, 6, 53
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\scope_resolvers.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 3, 3, 14
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\ts\completions.ts", "TypeScript", 171, 0, 0, 0, 0, 0, 13, 16, 200
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\ts\hot_completions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\ts\lang.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\ts\scopes.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 10, 8, 59
"c:\Users\eckar\Downloads\repos\deadeye\src\modes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\scope_utils.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 3, 12, 85
"c:\Users\eckar\Downloads\repos\deadeye\src\tape.ts", "TypeScript", 289, 0, 0, 0, 0, 0, 166, 62, 517
"c:\Users\eckar\Downloads\repos\deadeye\src\test\extension.test.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 3, 4, 16
"c:\Users\eckar\Downloads\repos\deadeye\src\utils.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 8, 25, 148
"c:\Users\eckar\Downloads\repos\deadeye\tsconfig.json", "JSON with Comments", 0, 0, 0, 20, 0, 0, 1, 2, 23
"c:\Users\eckar\Downloads\repos\deadeye\vsc-extension-quickstart.md", "Markdown", 0, 0, 32, 0, 0, 0, 0, 17, 49
"c:\Users\eckar\Downloads\repos\deadeye\webpack.config.js", "JavaScript", 0, 36, 0, 0, 0, 0, 7, 5, 48
"Total", "-", 1803, 69, 159, 20, 4900, 14, 416, 386, 7767
