"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "Markdown", "Python", "Ignore", "comment", "blank", "total"
"c:\Users\eckar\Downloads\repos\deadeye\.prettierrc", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\eckar\Downloads\repos\deadeye\.vscode-test.mjs", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\eckar\Downloads\repos\deadeye\.vscodeignore", "Ignore", 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\Users\eckar\Downloads\repos\deadeye\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 5, 0, 0, 0, 4, 9
"c:\Users\eckar\Downloads\repos\deadeye\README.md", "Markdown", 0, 0, 0, 0, 24, 0, 0, 0, 21, 45
"c:\Users\eckar\Downloads\repos\deadeye\docs.md", "Markdown", 0, 0, 0, 0, 82, 0, 0, 0, 36, 118
"c:\Users\eckar\Downloads\repos\deadeye\eslint.config.mjs", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\eckar\Downloads\repos\deadeye\hot-conflict-detector\detector.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\package-lock.json", "JSON", 0, 0, 0, 4266, 0, 0, 0, 0, 1, 4267
"c:\Users\eckar\Downloads\repos\deadeye\package.json", "JSON", 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"c:\Users\eckar\Downloads\repos\deadeye\src\completion_utils.ts", "TypeScript", 0, 458, 0, 0, 0, 0, 0, 85, 36, 579
"c:\Users\eckar\Downloads\repos\deadeye\src\extension.ts", "TypeScript", 0, 120, 0, 0, 0, 0, 0, 166, 38, 324
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\all_completions.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 5, 3, 16
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\all_languages.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 5, 3, 16
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\all_resolvers.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 5, 3, 16
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\md\completions.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 28, 11, 84
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\md\language.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 24, 4, 78
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\md\resolver.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\rust\completions.ts", "TypeScript", 0, 581, 0, 0, 0, 0, 0, 246, 84, 911
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\rust\language.ts", "TypeScript", 0, 219, 0, 0, 0, 0, 0, 21, 11, 251
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\rust\resolver.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 37, 20, 105
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\ts\completions.ts", "TypeScript", 0, 146, 0, 0, 0, 0, 0, 39, 13, 198
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\ts\language.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eckar\Downloads\repos\deadeye\src\lang\ts\resolver.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 10, 7, 58
"c:\Users\eckar\Downloads\repos\deadeye\src\language_utils.ts", "TypeScript", 0, 354, 0, 0, 0, 0, 0, 91, 46, 491
"c:\Users\eckar\Downloads\repos\deadeye\src\misc.ts", "TypeScript", 0, 97, 0, 0, 0, 0, 0, 49, 18, 164
"c:\Users\eckar\Downloads\repos\deadeye\src\tape.ts", "TypeScript", 0, 336, 0, 0, 0, 0, 0, 174, 54, 564
"c:\Users\eckar\Downloads\repos\deadeye\src\test\extension.test.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 7, 4, 21
"c:\Users\eckar\Downloads\repos\deadeye\src\text_utils.ts", "TypeScript", 0, 122, 0, 0, 0, 0, 0, 63, 35, 220
"c:\Users\eckar\Downloads\repos\deadeye\tsconfig.json", "JSON with Comments", 20, 0, 0, 0, 0, 0, 0, 1, 2, 23
"c:\Users\eckar\Downloads\repos\deadeye\vite.config.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"Total", "-", 20, 2651, 54, 4315, 111, 0, 14, 1056, 469, 8690
